Tag,Year,NumLeaves(t-1),NumLeaves(t),LLL(t-1),LLL(t),NumFlowers,AbortedBuds,Alive(t+1),Comments
314,1994,15,13,89,91,0,0,1,
314,1995,13,19,91,95,0,0,1,
314,1996,19,24,95,102,0,0,0,
322A,1982,NA,4,NA,18,0,0,1,
322A,1983,4,3,18,23,0,0,0,
342A,1982,NA,11,NA,31,0,0,1,
342A,1983,11,10,31,50,0,0,1,
342A,1984,10,19,50,65,0,0,1,
342A,1985,19,NA,65,NA,0,0,1,
342A,1986,NA,NA,NA,NA,0,0,1,
342A,1987,NA,40,NA,49,0,0,0,
321,1982,NA,4,NA,12,0,0,1,
321,1983,4,4,12,17,0,0,1,
321,1984,4,9,17,46,0,0,1,
321,1985,9,9,46,57,0,0,1,
321,1986,9,11,57,50,0,0,1,
321,1987,11,9,50,66,0,0,1,
321,1988,9,9,66,66,0,0,1,
321,1989,9,9,66,57,0,0,1,
321,1990,9,12,57,76,0,0,1,
321,1991,12,12,76,61,0,0,1,
321,1992,12,13,61,72,0,0,1,
321,1993,13,14,72,72,0,0,1,
321,1994,14,15,72,72,0,0,1,
321,1995,15,15,72,47,0,0,0,
352TB,1997,NA,8,NA,51,0,0,1,"Columns offset by 1, but numbers make sense"
352TB,1998,8,7,51,78,0,0,1,
352TB,1999,7,9,78,82,0,0,0,
325R,1982,NA,3,nA,12,0,0,1,
325R,1983,3,3,12,17,0,0,1,
325R,1984,3,6,17,36,0,0,1,
325R,1985,6,7,36,52,0,0,1,
325R,1986,7,7,52,43,0,0,1,
325R,1987,7,6,43,50,0,0,1,
325R,1988,6,8,50,52,0,0,1,
325R,1989,8,11,52,46,0,0,1,
325R,1990,11,10,46,70,0,0,1,
325R,1991,10,12,70,52,0,0,1,
325R,1992,12,8,52,66,0,0,1,
325R,1993,8,10,66,56,0,0,1,
325R,1994,10,10,56,66,0,0,1,
325R,1995,10,12,66,66,0,0,0,
325TIMUL,1990,NA,5,NA,86,0,0,1,
325TIMUL,1991,5,5,86,39,0,0,1,
325TIMUL,1992,5,4,39,42,0,0,1,
325TIMUL,1993,4,4,42,44,0,0,1,
325TIMUL,1994,4,4,44,10,0,0,0,
325TIMDL,1990,NA,3,NA,10,0,0,1,
325TIMDL,1991,3,4,10,11,0,0,1,
325TIMDL,1992,4,2,11,18,0,0,1,
325TIMDL,1993,2,3,18,18,0,0,1,
325TIMDL,1994,3,2,18,16,0,0,1,
325TIMDL,1995,2,5,16,41,0,0,0,
328,1982,NA,6,NA,15,0,0,1,
328,1983,6,5,15,24,0,0,1,
328,1984,5,10,24,54,0,0,1,
328,1985,10,15,54,40,0,0,1,
328,1986,15,19,40,45,0,0,1,
328,1987,19,17,45,55,0,0,1,
328,1988,17,24,55,66,0,0,1,
328,1989,17,31,66,56,0,0,1,
328,1990,31,31,56,81,0,0,1,
328,1991,31,39,81,82,0,0,1,
328,1992,39,39,82,93,0,0,1,
328,1993,39,46,93,94,0,0,1,
328,1994,46,48,94,92,0,0,1,
328,1995,48,49,92,95,0,0,0,
329,1982,NA,4,NA,12,0,0,1,
329,1983,4,3,12,12,0,0,1,
329,1984,3,4,12,22,0,0,1,
329,1985,4,5,22,35,0,0,1,
329,1986,5,5,35,33,0,0,1,
329,1987,5,6,33,73,0,0,1,
329,1988,6,6,73,94,0,0,1,
329,1989,6,9,94,71,0,0,1,
329,1990,9,7,71,101,0,0,1,
329,1991,7,12,101,77,0,0,1,
329,1992,12,13,77,95,0,0,1,
329,1993,13,15,95,87,0,0,1,
329,1994,15,18,87,85,0,0,1,
329,1995,18,20,85,91,0,0,0,
342AB,1982,NA,11,NA,31,0,0,1,
342AB,1983,11,10,31,50,0,0,1,
342AB,1984,10,19,50,65,0,0,1,
342AB,1985,19,NA,65,NA,0,0,1,
342AB,1986,NA,NA,NA,NA,0,0,1,
342AB,1987,NA,40,NA,49,0,0,0,
342AU,1982,NA,11,NA,31,0,0,1,
342AU,1983,11,10,31,50,0,0,1,
342AU,1984,10,19,50,65,0,0,1,
342AU,1985,19,NA,65,NA,0,0,1,
342AU,1986,NA,NA,NA,NA,0,0,1,
342AU,1987,NA,40,NA,49,0,0,0,
342AD,1985,NA,13,NA,72,0,0,1,
342AD,1986,13,18,72,69,0,0,1,
342AD,1987,18,NA,69,NA,0,0,1,
342AD,1988,NA,26,NA,84,0,0,1,
342AD,1989,26,39,84,86,0,0,0,
345U,1986,NA,4,NA,39,0,0,1,
345U,1987,4,5,39,33,0,0,1,
345U,1988,5,7,33,58,0,0,1,
345U,1989,7,12,58,68,0,0,1,
345U,1990,12,14,68,66,0,0,1,
345U,1991,14,12,66,65,0,0,1,
345U,1992,12,12,65,90,0,0,1,
345U,1993,12,13,90,87,0,0,1,
345U,1994,13,13,87,70,0,0,1,
345U,1995,13,17,70,84,0,0,1,
345U,1996,17,NA,84,NA,2,0,0,"In ""Died before flowering"" sheet, but says it has 2 flowers in 1996. No leaf data in 1996"
350,1984,NA,3,NA,11,0,0,1,
350,1985,3,5,11,16,0,0,1,
350,1986,5,5,16,26,0,0,1,
350,1987,5,3,36,25,0,0,1,
350,1988,3,4,25,35,0,0,1,
350,1989,4,5,35,29,0,0,1,
350,1990,5,NA,29,NA,0,0,1,
350,1991,NA,5,NA,50,0,0,1,
350,1992,5,5,50,52,0,0,1,
350,1993,5,5,52,53,0,0,1,
350,1994,5,7,53,73,0,0,1,
350,1995,7,7,73,73,0,0,0,
351,1983,NA,7,NA,62,0,0,1,
351,1984,7,10,62,53,0,0,1,
351,1985,10,9,53,67,0,0,1,
351,1986,9,9,67,61,0,0,1,
351,1987,9,10,61,60,0,0,1,
351,1988,10,13,60,80,0,0,1,
351,1989,13,17,80,69,0,0,1,
351,1990,13,15,69,85,0,0,1,
351,1991,15,13,85,78,0,0,1,
351,1992,13,14,69,73,0,0,1,
351,1993,14,16,73,72,0,0,0,
358,1983,NA,4,NA,38,0,0,1,
358,1984,4,7,38,62,0,0,1,
358,1985,7,8,62,66,0,0,1,
358,1986,8,9,66,64,0,0,1,
358,1987,9,10,64,60,0,0,1,
358,1988,10,13,60,80,0,0,1,
358,1989,13,17,80,69,0,0,1,
358,1990,17,15,69,85,0,0,1,
358,1991,15,13,85,78,0,0,1,
358,1992,13,14,78,84,0,0,1,
359,1993,14,NA,84,NA,0,0,1,
359,1994,NA,6,NA,43,0,0,0,
370UL,1984,NA,5,NA,20,0,0,1,
370UL,1985,5,6,20,35,0,0,1,
370UL,1986,6,5,35,39,0,0,1,
370UL,1987,5,6,39,44,0,0,1,
370UL,1988,6,7,44,65,0,0,1,
370UL,1989,7,8,65,58,0,0,1,
370UL,1990,8,9,58,86,0,0,1,
370UL,1991,9,11,86,91,0,0,1,
370UL,1992,11,12,91,100,0,0,1,
370UL,1993,12,15,100,105,0,0,1,
370UL,1994,15,13,105,92,0,0,0,
370DR,1985,NA,4,NA,15,0,0,1,
370DR,1986,4,5,15,33,0,0,1,
370DR,1987,5,5,33,40,0,0,1,
370DR,1988,5,5,40,42,0,0,1,
370DR,1989,5,7,42,56,0,0,1,
370DR,1990,7,7,56,81,0,0,1,
370DR,1991,7,8,81,77,0,0,1,
370DR,1992,8,9,77,92,0,0,1,
370DR,1993,9,11,92,90,0,0,1,
370DR,1994,11,12,90,89,0,0,0,
371,1984,NA,4,NA,40,0,0,1,
371,1985,4,9,40,45,0,0,1,
371,1986,9,8,45,43,0,0,1,
371,1987,8,8,43,39,0,0,1,
371,1988,8,8,39,50,0,0,1,
371,1989,8,12,50,42,0,0,1,
371,1990,12,10,42,78,0,0,1,
371,1991,10,12,78,65,0,0,1,
371,1992,12,8,65,52,0,0,1,
371,1993,8,8,52,64,0,0,1,
371,1994,8,5,64,34,0,0,1,
371,1995,5,8,34,52,0,0,1,
371,1996,8,11,52,60,0,0,1,
371,1997,11,NA,60,NA,0,0,1,
371,1998,NA,18,NA,76,0,0,1,
371,1999,18,21,76,62,0,0,1,
371,2000,21,17,62,82,0,0,0,"Columns offset by 1, but numbers make sense"
374,1984,NA,5,NA,5,0,0,1,
374,1985,5,6,5,15,0,0,1,
374,1986,6,6,15,22,0,0,1,
374,1987,6,5,22,25,0,0,1,
374,1988,5,15,35,37,0,0,1,
